,team_name,team_id,matches,season,pace,ortg,drtg,efg%,ts%,ppt2,vol2p,ppt3,vol3p,pptl,ftr,dr%,or%,tr%,ast%,st%,to%,blk%,four_factors,ortg_opp,drtg_opp,efg%_opp,ts%_opp,ppt2_opp,vol2p_opp,ppt3_opp,vol3p_opp,pptl_opp,ftr_opp,dr%_opp,or%_opp,tr%_opp,ast%_opp,st%_opp,to%_opp,blk%_opp,four_factors_opp
0,HKK Široki TT Kabeli,6,15,2022/2023,69.14816,112.51203213505607,108.07711055989535,52.131147540983605,55.70724814786527,1.0881863560732112,65.68306010928961,0.9554140127388535,34.31693989071038,0.707641196013289,32.89617486338798,75.56561085972851,34.6072186836518,54.43592552026287,53.39578454332553,10.894481260720939,15.762722769092194,6.7685589519650655,28.767648290358952,108.07711055989535,112.51203213505607,53.66705471478463,57.11694452370276,1.1091703056768558,53.317811408614666,1.032418952618454,46.682188591385334,0.7158273381294964,32.36321303841677,65.39278131634819,24.43438914027149,45.56407447973713,64.79591836734694,9.73754519763553,17.971780125718873,5.8236272878535775,26.715236638300954
1,HKK Široki TT Kabeli,6,15,2023/2024,69.46816,110.45827805621069,108.73086797366352,49.37238493723849,52.873837786189405,1.0653846153846154,54.39330543933055,0.8944954128440367,45.60669456066945,0.6877076411960132,31.485355648535563,70.8803611738149,31.47792706333973,49.5850622406639,50.859950859950864,11.32413276336478,12.88577282622615,4.921259842519685,27.545899528287144,108.73086797366352,110.45827805621069,53.24022346368715,56.44229236410011,1.1496062992125984,56.75977653631285,0.9534883720930233,43.24022346368715,0.728744939271255,27.59776536312849,68.52207293666027,29.119638826185103,50.4149377593361,58.31325301204819,7.101574783805031,17.57440378424545,6.923076923076923,26.866081009119792
2,KK Borac WWIN,76,14,2022/2023,72.03017142857144,113.94034880621453,103.23055100719698,55.16840882694541,58.47685354830829,1.12015503875969,59.930313588850176,1.0782608695652174,40.069686411149824,0.7210144927536232,32.055749128919864,73.63083164300203,31.17505995203837,54.175824175824175,65.85956416464892,8.627337115875251,16.773406526379993,5.709342560553633,28.917386258928822,103.23055100719698,113.94034880621453,49.130434782608695,51.39015046799099,1.0449826989619377,62.82608695652174,0.8771929824561403,37.17391304347826,0.6492890995260664,22.934782608695652,68.82494004796163,26.36916835699797,45.824175824175825,51.49253731343284,10.709797799017554,14.008693880323305,5.038759689922481,24.864051505666595
3,KK Borac WWIN,76,13,2023/2024,63.791261538461534,104.42713156757424,102.85951873803792,48.053691275167786,52.36805186009384,0.9718670076726342,52.48322147651007,0.9491525423728814,47.51677852348993,0.8064516129032258,24.966442953020135,76.13065326633166,28.64321608040201,52.38693467336683,57.284768211920536,8.561577761313824,15.442199132782457,4.221635883905013,24.834536385904926,102.85951873803792,104.42713156757424,49.22096317280453,53.068385427035636,1.0184696569920844,53.68271954674221,0.944954128440367,46.31728045325779,0.7117117117117117,31.444759206798867,71.35678391959799,23.86934673366834,47.61306532663317,62.16216216216216,10.732118602210287,14.925689122242451,8.184143222506394,25.4475462163147
4,KK Cedevita Junior,90,13,2023/2024,71.8464,105.4600241198317,113.38290918061094,52.68542199488491,56.09850555859304,1.1101694915254237,60.35805626598466,0.967741935483871,39.64194373401534,0.7385321100917431,27.877237851662404,65.83143507972665,25.699745547073793,46.875,70.71823204419888,7.708753032109526,18.25089392133492,9.591836734693878,25.832980104784355,113.38290918061094,105.4600241198317,49.480369515011546,53.863525390625,1.1428571428571428,56.581986143187066,0.7898936170212766,43.418013856812934,0.7593984962406015,30.71593533487298,74.30025445292621,34.16856492027335,53.125,58.31134564643799,10.278337376146034,13.54393864771688,7.627118644067797,27.847266428361017
5,KK Gorenjska gradbena družba Šenčur,88,13,2022/2023,70.82141538461538,102.31585752419087,105.13986208430654,47.99270072992701,50.7521227533296,1.032967032967033,66.42335766423358,0.8152173913043478,33.57664233576642,0.6348547717842323,29.31873479318735,71.96261682242991,33.18181818181818,52.30414746543779,61.904761904761905,10.535709320431543,16.01751972779266,10.19108280254777,26.226874215364376,105.13986208430654,102.31585752419087,49.67234600262123,53.68234250221827,1.0233545647558386,61.730013106159895,0.9452054794520548,38.269986893840105,0.6666666666666666,41.28440366972477,66.81818181818181,28.037383177570092,47.69585253456221,63.66366366366366,9.88401596040485,15.942569457393251,4.761904761904762,27.683433222672917
6,KK Gorenjska gradbena družba Šenčur,88,13,2023/2024,71.87593846153847,103.16922149618486,110.76778449019848,48.31395348837209,50.77318501664349,1.1003861003861004,60.23255813953488,0.7631578947368421,39.76744186046512,0.6551724137931034,23.6046511627907,69.0537084398977,30.837004405286343,48.5207100591716,57.25806451612904,11.344333484020327,14.73071533790824,4.781704781704781,25.351001116347653,110.76778449019848,103.16922149618486,54.078947368421055,58.30328977016674,1.16008316008316,63.28947368421053,0.946236559139785,36.71052631578947,0.7344827586206897,38.1578947368421,69.16299559471365,30.946291560102303,51.4792899408284,57.22070844686649,10.060069316018026,17.70814018171704,7.722007722007722,29.11748642448594
7,KK Gorica,72,13,2022/2023,71.95569230769232,102.84106458675424,121.3353516694034,51.08974358974359,54.44872085125652,1.0524017467248907,58.717948717948715,0.9782608695652174,41.282051282051285,0.7021276595744681,30.128205128205128,68.42105263157895,23.333333333333332,44.1741357234315,63.8728323699422,9.514402025177887,17.62402088772846,3.8461538461538463,25.21578964986276,121.3353516694034,102.84106458675424,60.17811704834605,62.47798132816628,1.2105263157894737,62.849872773536894,1.1917808219178083,37.150127226463106,0.6798561151079137,35.36895674300254,76.66666666666667,31.57894736842105,55.8258642765685,66.26506024096386,13.469827586206895,16.154044972861204,5.240174672489083,31.653868561257717
8,KK Kansai Helios Domžale,20,16,2022/2023,70.6584,126.31194592574981,101.36799021772359,61.46265560165975,64.3451930355791,1.3111111111111111,56.016597510373444,1.125,43.983402489626556,0.7341389728096677,34.33609958506224,73.87033398821218,28.6697247706422,53.01587301587302,67.44639376218323,12.029709135785696,14.816065835533992,6.012658227848101,31.76540567366818,101.36799021772359,126.31194592574981,50.361944157187175,53.597485688629476,1.0379746835443038,65.35677352637022,0.9492537313432836,34.64322647362978,0.7413793103448276,23.991726990692865,71.3302752293578,26.12966601178782,46.98412698412698,50.92165898617511,9.729911801003135,18.083182640144667,3.888888888888889,24.4486742538002
9,KK Kansai Helios Domžale,20,15,2023/2024,66.01728,105.42694276407632,110.67809316994985,47.87709497206704,52.329777849065685,1.106837606837607,52.29050279329609,0.7939110070257611,47.70949720670391,0.8025751072961373,26.033519553072626,68.0,29.93762993762994,47.792494481236204,55.64516129032258,12.219023059821106,15.142234925820064,5.458089668615984,25.257833177858686,110.67809316994985,105.42694276407632,53.97196261682243,56.806402122983776,1.1111111111111112,59.929906542056074,1.032069970845481,40.070093457943926,0.6963562753036437,28.85514018691589,70.06237006237006,32.0,52.207505518763796,58.56079404466501,8.684594902021612,17.243154210417952,10.897435897435898,28.00626752216187
