,week,match,w/l,pts,fg%,fg2m,fg2a,fg2%,fg3m,fg3a,fg3%,ftm,fta,ft%,dr,or,tr,ass,st,to,blk,blk_ag,fp,fd,val,team_name,match_link,team_id,season
381,8,Helios-Ced Jr.,L,68.0,57.4,25.0,35.0,71.4,2.0,12.0,16.7,12.0,17.0,70.6,22.0,1.0,23.0,19.0,8.0,24.0,3.0,3.0,19.0,17.0,67.0,KK Cedevita Junior,/match/51/23/2/Boxscore/q1/1/home/kansai-helios-domzale-cedevita-junior/,90,2023/2024
382,9,Ced Jr.-Sutjeska,W,80.0,51.8,23.0,33.0,69.7,6.0,23.0,26.1,16.0,24.0,66.7,23.0,6.0,29.0,18.0,8.0,17.0,2.0,2.0,26.0,23.0,80.0,KK Cedevita Junior,/match/62/23/2/Boxscore/q1/1/home/cedevita-junior-sutjeska-elektroprivreda/,90,2023/2024
383,10,Borac BL-Ced Jr.,L,71.0,44.1,19.0,35.0,54.3,7.0,24.0,29.2,12.0,18.0,66.7,21.0,6.0,27.0,21.0,8.0,16.0,3.0,3.0,18.0,23.0,77.0,KK Cedevita Junior,/match/66/23/2/Boxscore/q1/1/home/borac-wwin-cedevita-junior/,90,2023/2024
384,11,Ced Jr.-Podgorica,L,79.0,42.4,21.0,39.0,53.8,7.0,27.0,25.9,16.0,21.0,76.2,20.0,12.0,32.0,27.0,4.0,8.0,3.0,1.0,23.0,20.0,90.0,KK Cedevita Junior,/match/75/23/2/Boxscore/q1/1/home/cedevita-junior-podgorica-bemax/,90,2023/2024
385,12,Spartak-Ced Jr.,L,80.0,49.3,25.0,45.0,55.6,8.0,22.0,36.4,6.0,12.0,50.0,23.0,5.0,28.0,24.0,5.0,11.0,7.0,6.0,28.0,17.0,76.0,KK Cedevita Junior,/match/81/23/2/Boxscore/q1/1/home/spartak-office-shoes-cedevita-junior/,90,2023/2024
386,13,Ced Jr.-GGD Šenčur,L,76.0,50.0,19.0,32.0,59.4,9.0,24.0,37.5,11.0,16.0,68.8,16.0,13.0,29.0,20.0,5.0,21.0,6.0,4.0,21.0,22.0,79.0,KK Cedevita Junior,/match/88/23/2/Boxscore/q1/1/home/cedevita-junior-ggd-sencur/,90,2023/2024
387,1,Spartak-Helios,W,80.0,46.6,20.0,34.0,58.8,7.0,24.0,29.2,19.0,24.0,79.2,24.0,14.0,38.0,14.0,4.0,15.0,9.0,3.0,17.0,23.0,97.0,KK Spartak Office Shoes,/match/3/23/2/Boxscore/q1/1/home/spartak-office-shoes-kansai-helios-domzale/,91,2023/2024
388,2,Sutjeska-Spartak,W,89.0,49.3,25.0,38.0,65.8,9.0,31.0,29.0,12.0,23.0,52.2,23.0,9.0,32.0,17.0,6.0,8.0,5.0,1.0,21.0,25.0,98.0,KK Spartak Office Shoes,/match/13/23/2/Boxscore/q1/1/home/sutjeska-elektroprivreda-spartak-office-shoes/,91,2023/2024
389,3,Spartak-Borac BL,W,79.0,56.8,16.0,24.0,66.7,9.0,20.0,45.0,20.0,27.0,74.1,23.0,5.0,28.0,18.0,7.0,13.0,6.0,0.0,27.0,26.0,98.0,KK Spartak Office Shoes,/match/16/23/2/Boxscore/q1/1/home/spartak-office-shoes-borac-wwin/,91,2023/2024
390,4,Podgorica-Spartak,L,67.0,33.3,13.0,31.0,41.9,6.0,26.0,23.1,23.0,30.0,76.7,20.0,15.0,35.0,16.0,3.0,9.0,0.0,2.0,19.0,25.0,71.0,KK Spartak Office Shoes,/match/28/23/2/Boxscore/q1/1/home/podgorica-bemax-spartak-office-shoes/,91,2023/2024
391,5,Spartak-Šibenka,W,77.0,37.7,12.0,33.0,36.4,11.0,28.0,39.3,20.0,25.0,80.0,20.0,13.0,33.0,18.0,10.0,12.0,1.0,4.0,20.0,24.0,84.0,KK Spartak Office Shoes,/match/29/23/2/Boxscore/q1/1/home/spartak-office-shoes-sibenka/,91,2023/2024
392,6,Spartak-GGD Šenčur,W,109.0,62.3,32.0,45.0,71.1,6.0,16.0,37.5,27.0,34.0,79.4,23.0,8.0,31.0,33.0,9.0,8.0,4.0,1.0,19.0,29.0,157.0,KK Spartak Office Shoes,/match/42/23/2/Boxscore/q1/1/home/spartak-office-shoes-ggd-sencur/,91,2023/2024
393,7,MZT Skopje-Spartak,W,86.0,49.2,19.0,34.0,55.9,10.0,25.0,40.0,18.0,23.0,78.3,27.0,7.0,34.0,20.0,2.0,10.0,2.0,3.0,20.0,23.0,99.0,KK Spartak Office Shoes,/match/44/23/2/Boxscore/q1/1/home/mzt-skopje-aerodrom-spartak-office-shoes/,91,2023/2024
394,8,Spartak-Vojvodina,L,71.0,47.1,16.0,34.0,47.1,8.0,17.0,47.1,15.0,21.0,71.4,23.0,6.0,29.0,15.0,8.0,23.0,4.0,5.0,27.0,24.0,63.0,KK Spartak Office Shoes,/match/55/23/2/Boxscore/q1/1/home/spartak-office-shoes-vojvodina-mts/,91,2023/2024
395,9,TFT-Spartak,W,93.0,51.6,29.0,47.0,61.7,4.0,17.0,23.5,23.0,27.0,85.2,31.0,13.0,44.0,23.0,6.0,11.0,8.0,1.0,14.0,22.0,135.0,KK Spartak Office Shoes,/match/59/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-spartak-office-shoes/,91,2023/2024
396,10,Spartak-Zlatibor,W,102.0,55.9,28.0,46.0,60.9,10.0,22.0,45.5,16.0,22.0,72.7,18.0,9.0,27.0,19.0,8.0,11.0,5.0,0.0,23.0,22.0,113.0,KK Spartak Office Shoes,/match/68/23/2/Boxscore/q1/1/home/spartak-office-shoes-zlatibor-mozzart/,91,2023/2024
397,11,Široki-Spartak,W,95.0,55.0,15.0,24.0,62.5,18.0,36.0,50.0,11.0,15.0,73.3,27.0,10.0,37.0,25.0,3.0,18.0,5.0,2.0,23.0,19.0,110.0,KK Spartak Office Shoes,/match/74/23/2/Boxscore/q1/1/home/siroki-tt-kabeli-spartak-office-shoes/,91,2023/2024
398,12,Spartak-Ced Jr.,W,83.0,43.3,16.0,34.0,47.1,10.0,26.0,38.5,21.0,30.0,70.0,27.0,11.0,38.0,18.0,6.0,11.0,6.0,7.0,17.0,28.0,101.0,KK Spartak Office Shoes,/match/81/23/2/Boxscore/q1/1/home/spartak-office-shoes-cedevita-junior/,91,2023/2024
399,13,Pelister-Spartak,W,88.0,54.5,21.0,29.0,72.4,9.0,26.0,34.6,19.0,29.0,65.5,27.0,4.0,31.0,23.0,3.0,11.0,5.0,3.0,22.0,23.0,102.0,KK Spartak Office Shoes,/match/89/23/2/Boxscore/q1/1/home/pelister-bitola-spartak-office-shoes/,91,2023/2024
400,14,Helios-Spartak,W,84.0,49.2,23.0,42.0,54.8,8.0,21.0,38.1,14.0,21.0,66.7,26.0,11.0,37.0,17.0,5.0,16.0,5.0,1.0,21.0,24.0,95.0,KK Spartak Office Shoes,/match/92/23/2/Boxscore/q1/1/home/kansai-helios-domzale-spartak-office-shoes/,91,2023/2024
401,15,Spartak-Helios,W,79.0,47.8,26.0,46.0,56.5,6.0,21.0,28.6,9.0,15.0,60.0,23.0,14.0,37.0,17.0,7.0,16.0,7.0,2.0,19.0,18.0,87.0,KK Spartak Office Shoes,/match/96/23/2/Boxscore/q1/1/home/spartak-office-shoes-kansai-helios-domzale/,91,2023/2024
402,16,MZT Skopje-Spartak,W,78.0,44.4,20.0,41.0,48.8,8.0,22.0,36.4,14.0,21.0,66.7,33.0,13.0,46.0,21.0,4.0,16.0,2.0,3.0,18.0,20.0,92.0,KK Spartak Office Shoes,/match/100/23/2/Boxscore/q1/1/home/mzt-skopje-aerodrom-spartak-office-shoes/,91,2023/2024
403,17,Spartak-MZT Skopje,W,98.0,56.9,26.0,41.0,63.4,11.0,24.0,45.8,13.0,20.0,65.0,26.0,10.0,36.0,27.0,8.0,8.0,1.0,0.0,19.0,23.0,131.0,KK Spartak Office Shoes,/match/102/23/2/Boxscore/q1/1/home/spartak-office-shoes-mzt-skopje-aerodrom/,91,2023/2024
404,18,Vojvodina-Spartak,W,74.0,47.6,24.0,36.0,66.7,6.0,27.0,22.2,8.0,14.0,57.1,28.0,11.0,39.0,15.0,9.0,15.0,5.0,3.0,24.0,19.0,80.0,KK Spartak Office Shoes,/match/104/23/2/Boxscore/q1/1/home/vojvodina-mts-spartak-office-shoes/,91,2023/2024
405,19,Spartak-Vojvodina,W,80.0,36.4,13.0,31.0,41.9,7.0,24.0,29.2,33.0,38.0,86.8,26.0,10.0,36.0,14.0,7.0,19.0,1.0,1.0,29.0,35.0,84.0,KK Spartak Office Shoes,/match/105/23/2/Boxscore/q1/1/home/spartak-office-shoes-vojvodina-mts/,91,2023/2024
