,week,match,w/l,pts,fg%,fg2m,fg2a,fg2%,fg3m,fg3a,fg3%,ftm,fta,ft%,dr,or,tr,ass,st,to,blk,blk_ag,fp,fd,val,team_name,match_link,team_id,season
338,10,MZT Skopje-Vojvodina,L,84.0,40.6,21.0,43.0,48.8,7.0,26.0,26.9,21.0,25.0,84.0,24.0,19.0,43.0,11.0,2.0,10.0,2.0,4.0,22.0,24.0,85.0,KK Vojvodina mts,/match/70/23/2/Boxscore/q1/1/home/mzt-skopje-aerodrom-vojvodina-mts/,82,2023/2024
339,11,Vojvodina-Šibenka,W,81.0,35.2,17.0,41.0,41.5,8.0,30.0,26.7,23.0,27.0,85.2,29.0,15.0,44.0,20.0,9.0,8.0,0.0,3.0,18.0,24.0,99.0,KK Vojvodina mts,/match/71/23/2/Boxscore/q1/1/home/vojvodina-mts-sibenka/,82,2023/2024
340,12,Vojvodina-TFT,W,72.0,40.6,20.0,42.0,47.6,6.0,22.0,27.3,14.0,20.0,70.0,32.0,14.0,46.0,22.0,10.0,14.0,1.0,3.0,22.0,23.0,91.0,KK Vojvodina mts,/match/84/23/2/Boxscore/q1/1/home/vojvodina-mts-tft-mozzart-skopje/,82,2023/2024
341,13,Zlatibor-Vojvodina,W,83.0,41.5,15.0,35.0,42.9,12.0,30.0,40.0,17.0,23.0,73.9,21.0,12.0,33.0,17.0,3.0,5.0,2.0,1.0,23.0,18.0,83.0,KK Vojvodina mts,/match/86/23/2/Boxscore/q1/1/home/zlatibor-mozzart-vojvodina-mts/,82,2023/2024
342,14,Sutjeska-Vojvodina,W,89.0,48.4,24.0,41.0,58.5,7.0,23.0,30.4,20.0,27.0,74.1,27.0,10.0,37.0,17.0,5.0,8.0,1.0,1.0,25.0,22.0,97.0,KK Vojvodina mts,/match/93/23/2/Boxscore/q1/1/home/sutjeska-elektroprivreda-vojvodina-mts/,82,2023/2024
343,15,Vojvodina-Sutjeska,W,81.0,46.0,19.0,35.0,54.3,10.0,28.0,35.7,13.0,18.0,72.2,30.0,6.0,36.0,17.0,9.0,9.0,3.0,5.0,21.0,21.0,93.0,KK Vojvodina mts,/match/97/23/2/Boxscore/q1/1/home/vojvodina-mts-sutjeska-elektroprivreda/,82,2023/2024
344,16,Podgorica-Vojvodina,L,80.0,45.6,22.0,35.0,62.9,9.0,33.0,27.3,9.0,17.0,52.9,19.0,7.0,26.0,13.0,6.0,5.0,0.0,2.0,21.0,24.0,76.0,KK Vojvodina mts,/match/101/23/2/Boxscore/q1/1/home/podgorica-bemax-vojvodina-mts/,82,2023/2024
345,17,Vojvodina-Podgorica,W,97.0,52.4,21.0,33.0,63.6,12.0,30.0,40.0,19.0,30.0,63.3,28.0,11.0,39.0,25.0,11.0,11.0,5.0,1.0,24.0,24.0,124.0,KK Vojvodina mts,/match/103/23/2/Boxscore/q1/1/home/vojvodina-mts-podgorica-bemax/,82,2023/2024
346,18,Vojvodina-Spartak,L,73.0,35.9,13.0,35.0,37.1,10.0,29.0,34.5,17.0,24.0,70.8,20.0,7.0,27.0,10.0,10.0,11.0,3.0,5.0,19.0,24.0,64.0,KK Vojvodina mts,/match/104/23/2/Boxscore/q1/1/home/vojvodina-mts-spartak-office-shoes/,82,2023/2024
347,19,Spartak-Vojvodina,L,74.0,40.4,15.0,26.0,57.7,8.0,31.0,25.8,20.0,31.0,64.5,19.0,7.0,26.0,14.0,8.0,14.0,1.0,1.0,35.0,29.0,57.0,KK Vojvodina mts,/match/105/23/2/Boxscore/q1/1/home/spartak-office-shoes-vojvodina-mts/,82,2023/2024
